timestamp,ontario_demand_mw,market_demand_mw,scheduled_operating_reserve_mw,total_generation_output_mw,total_generation_capability_mw,temperature_c,humidity,forecast_market_demand_next_1h_mw,forecast_market_demand_next_3h_mw
2023-01-01 00:00:00,16277.833866221501,17313.136513544305,2477.3287700832007,16568.83945813499,20101.922488330983,-2.0131433879550693,69.38004415287203,16358.417956967607,16137.258006563876
2023-01-01 01:00:00,15128.172160214535,16322.086044579262,2609.8620257087296,15224.485714040995,19728.814952094242,-4.553057204684738,73.01625375136067,16091.413414878849,17279.808109995432
2023-01-01 02:00:00,14877.746592214791,15887.636829261963,2908.172059191447,15237.697984853685,20165.94977581506,-1.40924584759723,77.73561973766294,16247.312485985618,15710.796944752947
2023-01-01 03:00:00,15324.963023251348,16484.141026570913,2264.457230732564,15566.20184373892,19421.965712219655,2.0921194256321014,72.19211227417985,16811.678091558955,16771.751215229047
2023-01-01 04:00:00,15612.414498606617,16891.136752494516,2413.2026126597552,16273.464416392597,18911.546722262927,-4.936613498893344,80.81756968463395,15776.650039073395,17939.748901086157
2023-01-01 05:00:00,15410.663063657348,15876.811988521446,2468.532539538677,15880.100185882184,18778.151960507093,-4.936547827796722,72.41505613616111,17025.137341219226,17607.974989801525
2023-01-01 06:00:00,16128.60659893435,17303.220657814818,3010.1290036669816,16774.55001251096,20814.826640309162,2.316851262029566,81.80378199392008,17293.932922092557,18766.057799126513
2023-01-01 07:00:00,16529.460961135384,17768.219473907237,2897.372510130811,16887.69898318997,21694.36775799183,-0.9302610833883649,44.65553971046816,18380.617653810114,18481.517015618436
2023-01-01 08:00:00,17363.69430846235,18086.53353480785,2404.4367724265376,17683.927056147608,21363.852204051014,-5.877897543739809,59.99315664338651,19238.326333284454,19920.77320439585
2023-01-01 09:00:00,18227.538455378384,19058.207237257106,2580.35483562909,18987.89623442421,22861.55677197567,-1.8297598256561414,84.69652998524543,19255.74248303181,19678.130782001677
2023-01-01 10:00:00,18280.340825522333,18947.75569733181,2792.2562199583404,18818.19121862751,22738.74401276947,-5.853670771249849,69.07890912713579,20050.837264812584,21418.744199464636
2023-01-01 11:00:00,19113.356663449926,20106.69850877756,2779.364153683108,19599.891105451155,23969.95340294319,-5.862919014281028,78.93205589946287,19697.40678922742,20149.007103526572
2023-01-01 12:00:00,18580.274475782076,19597.520533730305,2630.590038196102,19015.70035052444,22945.425242512785,-3.0321509137358635,36.51968969164276,20858.931268973884,20835.632742754995
2023-01-01 13:00:00,19825.440438984624,20784.184467194464,2572.924063890616,20127.004914312034,24160.136220487504,-11.653120978631192,78.58789492842186,19999.662890500105,19657.212945811145
2023-01-01 14:00:00,19295.95633938381,19966.03045450219,3033.9720634904443,19707.069840490836,25418.49353838121,-10.899671330052131,69.88566172860489,19687.221767710904,20136.69582902239
2023-01-01 15:00:00,19212.969152141235,20524.50466990407,2569.653976570294,19773.231072804756,23922.13817032107,-6.249150116963891,43.53777169938553,20147.829702244813,20163.76927242292
2023-01-01 16:00:00,19385.408840334727,20110.86285971938,2250.100799027703,20201.940276756235,23768.538325789887,-8.051324481337694,36.284047821179826,20084.899829915412,18266.836909212336
2023-01-01 17:00:00,19059.440562813543,20125.23476490318,2636.5036419276594,19640.00863353879,23292.88996195746,-2.7430106696189043,47.99632890628264,19142.05717072761,18882.932998731696
2023-01-01 18:00:00,18349.461409024367,19486.00962087791,2666.2438328640696,18533.559360821077,22914.010628909055,-7.632096302084845,80.78866794963851,17448.943546334714,18584.103357604155
2023-01-01 19:00:00,17469.44248152747,17855.98257565538,2577.030893240206,18005.45256287254,21797.953257556022,-9.649214805341167,68.40664693501432,18164.998598543567,17658.95964747911
2023-01-01 20:00:00,17084.19398270713,18084.66006521645,2325.0543918834414,17665.817793738883,21452.19521235609,1.8625950756862162,80.97345521416621,18073.395810452057,16549.42254388508
2023-01-01 21:00:00,16773.457188518085,18049.53749578458,2683.883713431764,17565.80605341952,21017.54445217695,-4.9031052019461425,57.307539124712974,17391.48322497323,16604.892220438196
